customer_id,first_name,last_name,segment,city,state,country,zipcode,street,latitude,longitude
9083,Mary,Frank,Home Office,Bayamon,PR,Puerto Rico,957,75 Sunny Grounds,18.38011932,-66.18312836
7864,Alice,Smith,Home Office,Caguas,PR,Puerto Rico,725,4294 High Passage,18.28279495,-66.37055969
11169,Kyle,Thomas,Home Office,Caguas,PR,Puerto Rico,725,5274 Easy Beach,18.27466202,-66.37058258
650,Austin,Sexton,Home Office,Caguas,PR,Puerto Rico,725,4691 Cinder Crest,18.2275734,-66.04563141
9353,Michael,Scott,Home Office,Caguas,PR,Puerto Rico,725,5703 Tawny Creek Townline,18.2988205,-66.37059784
54,Mary,Olson,Home Office,Caguas,PR,Puerto Rico,725,7333 Cinder Way,18.02538109,-66.61508179
12151,Vincent,Krueger,Home Office,Caguas,PR,Puerto Rico,725,9404 Heather Bluff Dale,18.25048637,-66.37062836
1025,Megan,Todd,Home Office,Caguas,PR,Puerto Rico,725,1393 Umber Sky Estates,18.29652023,-66.04867554
8831,Mary,Smith,Home Office,Caguas,PR,Puerto Rico,725,8165 Red Lane,18.28746414,-66.37054443
10679,Mary,Smith,Home Office,Caguas,PR,Puerto Rico,725,331 Grand Orchard,18.29108048,-66.37050629
5007,Mary,Smith,Home Office,Caguas,PR,Puerto Rico,725,2264 Thunder Abbey,18.24984551,-66.37050629
9854,Mary,Smith,Home Office,Caguas,PR,Puerto Rico,725,9082 Merry Lookout,18.25671768,-66.37062836
376,Grace,Sanchez,Home Office,Caguas,PR,Puerto Rico,725,6468 Fallen Close,18.24754334,-66.0253067
5421,Mary,Carlson,Consumer,Caguas,PR,Puerto Rico,725,1548 Lazy Place,18.20737648,-66.37055206
10200,Nicole,Smith,Consumer,Caguas,PR,Puerto Rico,725,9009 Merry Nectar Heights,18.27331543,-66.37060547
11254,Sharon,Smith,Consumer,Caguas,PR,Puerto Rico,725,4316 Misty Way,18.2626648,-66.3706131
11106,Mary,Navarro,Consumer,Caguas,PR,Puerto Rico,725,6324 Lazy Lane,18.26016426,-66.37059021
8456,Mary,Smith,Consumer,Caguas,PR,Puerto Rico,725,9198 Rocky Run,18.24535179,-66.37059784
6149,Matthew,Bush,Consumer,Caguas,PR,Puerto Rico,725,5736 Heather Byway,18.21775055,-66.37060547
1473,Anthony,Young,Consumer,Caguas,PR,Puerto Rico,725,7334 Umber Expressway,18.29214859,-66.3706131
6757,Mary,Freeman,Consumer,Caguas,PR,Puerto Rico,725,2035 Lazy Diversion,18.29659462,-66.37059021
3972,Laura,Bennett,Consumer,Caguas,PR,Puerto Rico,725,4520 Grand Port,18.27468491,-66.37056732
9316,Megan,Sanders,Consumer,Caguas,PR,Puerto Rico,725,7489 Green End,18.21944618,-66.37057495
11213,Mary,Black,Consumer,Caguas,PR,Puerto Rico,725,620 Thunder Creek Towers,18.23975563,-66.37059021
9174,Tyler,Smith,Consumer,Corona,NY,EE. UU.,11368,9414 Thunder Island Court,40.74210739,-73.86962128
122,Karen,Smith,Consumer,Cincinnati,OH,EE. UU.,45238,7573 Cozy Goose Road,39.28849411,-84.3551178
3800,Shawn,Smith,Consumer,Germantown,MD,EE. UU.,20874,5985 Silent Leaf Vale,39.1836586,-77.26545715
6246,Melissa,Ramirez,Consumer,Rome,NY,EE. UU.,13440,2459 Round Spring Towers,43.21662521,-75.45603943
8741,Gregory,Smith,Consumer,Vista,CA,EE. UU.,92083,690 Colonial Pine Passage,33.21121979,-117.2510605
10288,Mark,Smith,Consumer,Oviedo,FL,EE. UU.,32765,6026 Stony Elk Hill,28.62217712,-81.20755768
4717,Mary,Sanders,Consumer,Buffalo,NY,EE. UU.,14221,4903 Lazy Parkway,42.9666214,-78.74194336
4799,Paul,Jensen,Consumer,Honolulu,HI,EE. UU.,96822,3902 Foggy Swale,21.30562019,-157.8386993
4533,Walter,Chavez,Consumer,Oceanside,CA,EE. UU.,92056,990 Dewy Crest,33.18587494,-117.3658524
12383,Joyce,Phillips,Consumer,North Tonawanda,NY,EE. UU.,14120,9899 Hazy Falls,43.02910233,-78.87342072
7884,Peter,Smith,Corporate,Greenville,NC,EE. UU.,27858,2127 Cozy Deer Bank,35.60034943,-77.33486939
289,Diana,Richards,Corporate,Morristown,NJ,EE. UU.,7960,3593 Easy Embers Field,40.80119324,-74.48561096
10081,Mary,Castillo,Corporate,San Diego,CA,EE. UU.,92115,9900 Hidden Rise Downs,32.77627945,-117.1342163
1169,Mary,Smith,Corporate,Oxnard,CA,EE. UU.,93030,1055 Crystal Woods,34.19039154,-119.177803
1182,Mary,Smith,Corporate,Miami,FL,EE. UU.,33147,5365 Tawny Apple Limits,25.82507515,-80.19588471
717,Mary,Camacho,Corporate,Albuquerque,NM,EE. UU.,87111,4845 Thunder Embers Hollow,35.13143921,-106.5452042
20423,Ainsley,Leach,Corporate,Amarillo,TX,EE. UU.,79109,5154 Honey Bend,35.18754196,-101.8676224
5801,Theresa,Pearson,Corporate,Lutz,FL,EE. UU.,33549,6715 Gentle Horse Row,28.08681297,-82.43898773
702,Cynthia,Smith,Corporate,Bend,OR,EE. UU.,97701,6412 Crystal View Townline,44.07210541,-12.13232708
6951,Mary,Williams,Corporate,East Brunswick,NJ,EE. UU.,8816,263 Harvest Wood,40.41255188,-74.41832733
6780,Sean,Chung,Corporate,Lancaster,SC,EE. UU.,29720,7111 Cotton Blossom Estates,34.85777283,-80.84423828
6422,Jonathan,Richmond,Corporate,Ontario,CA,EE. UU.,91762,3005 Bright Maze,34.06832504,-117.6557541
5384,Christopher,Smith,Corporate,Houston,TX,EE. UU.,77015,5657 Lost Expressway,29.7805748,-95.17199707
2985,Donald,Price,Corporate,Hampton,VA,EE. UU.,23666,183 Velvet Grove Towers,37.05174255,-76.40163422
18349,Rana,Moreno,Corporate,New York,NY,EE. UU.,10016,2275 Rustic Impasse,40.74559021,-73.97927856
11286,Mary,Garcia,Corporate,Porterville,CA,EE. UU.,93257,8279 Bright Fox Highway,35.93829727,-118.9438477
489,William,Smith,Corporate,Portland,OR,EE. UU.,97223,2792 Middle Mount,45.59825897,-12.27242851
4510,Rachel,Cochran,Corporate,Strongsville,OH,EE. UU.,44136,6414 Jagged Sky Gardens,41.3469696,-81.82631683
9626,Dorothy,Frye,Corporate,El Paso,TX,EE. UU.,79927,4849 Clear Blossom Turnabout,31.65174103,-106.2676239
9494,Robert,Gilmore,Corporate,Del Rio,TX,EE. UU.,78840,8248 Clear Glade,29.77310181,-100.6121979
1718,Mary,Smith,Corporate,Buffalo,NY,EE. UU.,14221,4606 Umber Range,42.9666214,-78.74194336
5295,Mary,Williams,Corporate,Bountiful,UT,EE. UU.,84010,2058 Quaking Oak Common,40.86649323,-111.8493271
3984,Brenda,Webster,Corporate,Kent,WA,EE. UU.,98031,5131 Gentle Limits,47.39371109,-122.2228317
5270,Andrea,Johnson,Corporate,Chicago,IL,EE. UU.,60620,9595 Iron Orchard,41.74866486,-87.66320038
10966,Martha,Pierce,Corporate,Plymouth,MA,EE. UU.,2360,6797 Quiet Mountain Rise,41.95851135,-70.66861725
1868,Mary,Riddle,Corporate,Far Rockaway,NY,EE. UU.,11691,340 Velvet Barn Gate,40.59949493,-73.76248169
17446,Freya,Golden,Corporate,Houston,TX,EE. UU.,77088,569 Hazy Wynd,29.66958237,-95.24147034
10071,Mary,Lawrence,Corporate,Philadelphia,PA,EE. UU.,19124,5768 Jagged Zephyr Port,40.01562119,-75.08410645
1271,Carolyn,Shea,Corporate,Simi Valley,CA,EE. UU.,93065,1021 Silver Log Cape,34.27391052,-118.7662125
11930,Mary,Gilbert,Corporate,Detroit,MI,EE. UU.,48227,2002 Noble Crescent,42.39807892,-83.20157623
20529,Lynn,Sweeney,Corporate,Garden Grove,CA,EE. UU.,92840,7262 Emerald Boulevard,33.77366638,-118.0033035
8358,Mary,Smith,Corporate,San Diego,CA,EE. UU.,92105,9176 Shady Barn Jetty,32.74953461,-117.1046524
7705,Julia,Robinson,Corporate,Chicago,IL,EE. UU.,60609,3670 Broad Mountain Link,41.89551926,-87.71821594
17392,Patience,Ward,Corporate,Placentia,CA,EE. UU.,92870,7126 Hazy Berry Mount,33.99459839,-117.9534302
18276,Cheryl,Koch,Corporate,San Jose,CA,EE. UU.,95148,4845 Thunder Embers Hollow,37.32554245,-121.7993469
